"test5","test1","test2","test1","1"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","White only, not Hispanic or Latino","90.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","Female","92"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","Male","91"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","Persons aged 20 to 24 years","86.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Idaho","American Indian or Alaska Native only","70"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Idaho","White only","80.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Idaho","Hispanic or Latino","69.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Idaho","Not Hispanic or Latino","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Idaho","White only, not Hispanic or Latino","81.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Idaho","Female","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Idaho","Male","79.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Idaho","Persons aged 20 to 24 years","69"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","Asian or Pacific Islander only","83"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","Black or African American only","79"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","White only","88.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","Hispanic or Latino","72.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","Not Hispanic or Latino","89"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","Black or African American only, not Hisp/Latino","80"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","White only, not Hispanic or Latino","90.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","Female","87.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","Male","86.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Illinois","Persons aged 20 to 24 years","77"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","Black or African American only","79.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","White only","86.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","Hispanic or Latino","77.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","Not Hispanic or Latino","85.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","Black or African American only, not Hisp/Latino","78.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","White only, not Hispanic or Latino","86.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","Female","85.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","Male","86.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Indiana","Persons aged 20 to 24 years","75.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Iowa","White only","90"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Iowa","Hispanic or Latino","77.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Iowa","Not Hispanic or Latino","89.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Iowa","White only, not Hispanic or Latino","90.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Iowa","Female","90.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Iowa","Male","88"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Iowa","Persons aged 20 to 24 years","79.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","Black or African American only","78"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","White only","89"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","Hispanic or Latino","70"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","Not Hispanic or Latino","88.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","Black or African American only, not Hisp/Latino","79"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","White only, not Hispanic or Latino","89"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","Female","88"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","Male","86.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kansas","Persons aged 20 to 24 years","78"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","Black or African American only","77.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","White only","83.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","Hispanic or Latino","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","Not Hispanic or Latino","83"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","Black or African American only, not Hisp/Latino","77.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","White only, not Hispanic or Latino","83.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","Female","83"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","Male","82.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Kentucky","Persons aged 20 to 24 years","70.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","Black or African American only","62.666666666666664"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","White only","79.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","Hispanic or Latino","66"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","Not Hispanic or Latino","75"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","Black or African American only, not Hisp/Latino","63.333333333333336"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","White only, not Hispanic or Latino","80"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","Female","72.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","Male","76"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Louisiana","Persons aged 20 to 24 years","63"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maine","White only","84.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maine","Hispanic or Latino","92"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maine","Not Hispanic or Latino","84.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maine","White only, not Hispanic or Latino","84.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maine","Female","86"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maine","Male","82"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maine","Persons aged 20 to 24 years","71"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","Asian or Pacific Islander only","88"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","Black or African American only","83"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","White only","89.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","Hispanic or Latino","78.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","Not Hispanic or Latino","88"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","Black or African American only, not Hisp/Latino","83"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","White only, not Hispanic or Latino","90"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","Female","88"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","Male","86.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Maryland","Persons aged 20 to 24 years","76.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","Asian or Pacific Islander only","88.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","Black or African American only","85.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","White only","91"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","Hispanic or Latino","76.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","Not Hispanic or Latino","91.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","Black or African American only, not Hisp/Latino","86"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","White only, not Hispanic or Latino","92.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","Female","92.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","Male","88.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Massachusetts","Persons aged 20 to 24 years","82.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","Black or African American only","84.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","White only","90"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","Hispanic or Latino","85"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","Not Hispanic or Latino","89"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","Black or African American only, not Hisp/Latino","84.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","White only, not Hispanic or Latino","90"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","Female","89.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","Male","88.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Michigan","Persons aged 20 to 24 years","78.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","Asian or Pacific Islander only","90.5"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","Black or African American only","87"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","White only","92"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","Hispanic or Latino","92.5"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","Not Hispanic or Latino","91.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","Black or African American only, not Hisp/Latino","87.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","White only, not Hispanic or Latino","92"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","Female","93.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","Male","90"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Minnesota","Persons aged 20 to 24 years","85.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Mississippi","Black or African American only","71.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Mississippi","White only","82"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Mississippi","Not Hispanic or Latino","78.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Mississippi","Black or African American only, not Hisp/Latino","71.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Mississippi","White only, not Hispanic or Latino","82.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Mississippi","Female","77.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Mississippi","Male","78.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Mississippi","Persons aged 20 to 24 years","66.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","Black or African American only","81.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","White only","86.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","Hispanic or Latino","80.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","Not Hispanic or Latino","86"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","Black or African American only, not Hisp/Latino","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","White only, not Hispanic or Latino","86.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","Female","86.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","Male","85.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Missouri","Persons aged 20 to 24 years","75.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Montana","American Indian or Alaska Native only","73.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Montana","White only","80.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Montana","Hispanic or Latino","67"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Montana","Not Hispanic or Latino","80"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Montana","White only, not Hispanic or Latino","80.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Montana","Female","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Montana","Male","78.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Montana","Persons aged 20 to 24 years","69.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","Black or African American only","83"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","White only","90.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","Hispanic or Latino","75"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","Not Hispanic or Latino","90.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","Black or African American only, not Hisp/Latino","82.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","White only, not Hispanic or Latino","91"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","Female","90.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","Male","89.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Nebraska","Persons aged 20 to 24 years","81.66666666666667"
